date,Vladimir Putin,Steve Jobs,Nelson Mandela,Albert Einstein,Emma Watson
2016-01-03,25,88,13,41,17
2016-01-10,25,100,15,42,18
2016-01-17,27,78,16,47,17
2016-01-24,32,69,18,43,17
2016-01-31,26,76,21,44,14
2016-02-07,24,69,21,85,17
2016-02-14,24,65,20,61,15
2016-02-21,20,76,23,51,16
2016-02-28,22,73,21,48,14
2016-03-06,19,50,20,51,15
2016-03-13,25,50,18,54,12
2016-03-20,20,52,16,42,14
2016-03-27,21,48,17,43,13
2016-04-03,28,44,18,43,13
2016-04-10,35,41,21,43,18
2016-04-17,21,44,20,43,15
2016-04-24,21,42,20,42,13
2016-05-01,18,40,19,40,18
2016-05-08,21,36,20,41,19
2016-05-15,20,38,21,44,14
2016-05-22,20,36,19,39,22
2016-05-29,17,35,22,40,17
2016-06-05,19,32,22,40,15
2016-06-12,19,32,18,37,15
2016-06-19,18,29,14,35,16
2016-06-26,17,26,15,34,15
2016-07-03,16,27,15,34,17
2016-07-10,17,25,18,31,14
2016-07-17,16,24,30,33,17
2016-07-24,25,24,16,31,14
2016-07-31,20,22,19,33,15
2016-08-07,21,33,23,37,12
2016-08-14,16,44,25,33,12
2016-08-21,17,30,21,37,14
2016-08-28,18,31,23,36,14
2016-09-04,35,50,26,39,13
2016-09-11,22,49,25,38,11
2016-09-18,23,43,21,41,22
2016-09-25,20,66,21,41,15
2016-10-02,32,54,21,40,15
2016-10-09,40,47,22,42,12
2016-10-16,36,42,27,41,14
2016-10-23,27,40,24,40,12
2016-10-30,22,37,26,40,16
2016-11-06,51,32,30,40,15
2016-11-13,31,34,29,37,20
2016-11-20,27,38,25,36,16
2016-11-27,27,34,31,40,15
2016-12-04,21,31,28,37,14
2016-12-11,48,32,21,39,13
2016-12-18,53,26,16,35,13
2016-12-25,39,31,17,33,18
2017-01-01,30,34,20,34,21
2017-01-08,26,37,20,38,21
2017-01-15,30,34,21,38,15
2017-01-22,31,35,22,39,15
2017-01-29,27,47,24,40,18
2017-02-05,28,37,25,43,14
2017-02-12,23,36,22,40,16
2017-02-19,22,45,22,40,17
2017-02-26,22,34,22,43,35
2017-03-05,21,36,22,45,77
2017-03-12,20,33,22,55,100
2017-03-19,21,32,22,43,65
2017-03-26,24,30,23,41,37
2017-04-02,35,32,21,41,25
2017-04-09,30,31,17,39,29
2017-04-16,22,28,22,49,23
2017-04-23,19,32,25,71,21
2017-04-30,21,29,23,65,20
2017-05-07,21,29,22,62,20
2017-05-14,23,34,27,58,15
2017-05-21,16,28,21,55,16
2017-05-28,28,25,19,51,15
2017-06-04,28,24,19,50,16
2017-06-11,37,27,18,47,16
2017-06-18,31,35,17,58,16
2017-06-25,20,30,14,47,16
2017-07-02,37,33,16,40,16
2017-07-09,28,25,18,35,15
2017-07-16,19,26,29,34,16
2017-07-23,16,32,18,36,14
2017-07-30,22,26,16,36,14
2017-08-06,20,26,17,36,13
2017-08-13,15,27,21,35,13
2017-08-20,16,28,19,36,13
2017-08-27,15,36,20,35,12
2017-09-03,20,31,20,35,12
2017-09-10,17,57,21,37,11
2017-09-17,17,36,20,39,12
2017-09-24,17,34,18,39,12
2017-10-01,24,39,18,41,12
2017-10-08,24,35,19,39,12
2017-10-15,21,29,20,37,12
2017-10-22,20,31,20,56,11
2017-10-29,19,30,18,39,11
2017-11-05,22,31,19,40,12
2017-11-12,21,29,21,37,12
2017-11-19,20,30,23,36,12
2017-11-26,20,30,19,38,11
2017-12-03,24,28,21,39,10
2017-12-10,33,27,17,38,11
2017-12-17,21,22,15,32,11
2017-12-24,21,27,12,31,17
2017-12-31,23,28,14,36,18
2018-01-07,18,32,17,38,17
2018-01-14,21,29,18,37,12
2018-01-21,20,30,21,41,11
2018-01-28,22,27,21,38,11
2018-02-04,18,30,21,38,10
2018-02-11,21,31,23,37,10
2018-02-18,19,39,21,38,12
2018-02-25,38,33,22,40,10
2018-03-04,34,31,21,41,18
2018-03-11,49,38,20,100,12
2018-03-18,77,33,19,44,10
2018-03-25,34,29,17,36,10
