date,name,relative_popularity,nationality,page_views,edits
2016-01-31,Sundar Pichai,9.8,IN-TN,266040,79
2016-02-29,Sundar Pichai,15.75,IN-TN,359142,96
2016-03-31,Sundar Pichai,11.75,IN-TN,259457,46
2016-04-30,Sundar Pichai,8.5,IN-TN,210324,39
2016-05-31,Sundar Pichai,8.8,IN-TN,226410,8
2016-06-30,Sundar Pichai,9.5,IN-TN,245023,7
2016-07-31,Sundar Pichai,7.4,IN-TN,235818,9
2016-08-31,Sundar Pichai,7.75,IN-TN,181714,8
2016-09-30,Sundar Pichai,7.5,IN-TN,197965,2
2016-10-31,Sundar Pichai,10.4,IN-TN,207219,21
2016-11-30,Sundar Pichai,8.25,IN-TN,188689,70
2016-12-31,Sundar Pichai,9.5,IN-TN,187644,47
2017-01-31,Sundar Pichai,24.4,IN-TN,516665,5
2017-02-28,Sundar Pichai,20.25,IN-TN,362509,15
2017-03-31,Sundar Pichai,11.75,IN-TN,255741,84
2017-04-30,Sundar Pichai,17.8,IN-TN,327214,41
2017-05-31,Sundar Pichai,18.5,IN-TN,364544,2
2017-06-30,Sundar Pichai,14.0,IN-TN,251431,5
2017-07-31,Sundar Pichai,17.2,IN-TN,283184,3
2017-08-31,Sundar Pichai,18.75,IN-TN,302446,16
2017-09-30,Sundar Pichai,13.75,IN-TN,221738,5
2017-10-31,Sundar Pichai,14.6,IN-TN,252619,72
2017-11-30,Sundar Pichai,11.5,IN-TN,216720,9
2017-12-31,Sundar Pichai,10.6,IN-TN,194875,3
2018-01-31,Sundar Pichai,12.0,IN-TN,247166,0
2018-02-28,Sundar Pichai,10.25,IN-TN,182766,3
2018-03-31,Sundar Pichai,9.0,IN-TN,200383,7
2018-04-30,Sundar Pichai,9.8,IN-TN,208715,4
2018-05-31,Sundar Pichai,14.25,IN-TN,294230,7
2018-06-30,Sundar Pichai,13.25,IN-TN,240258,1
2018-07-31,Sundar Pichai,13.6,IN-TN,254463,5
2018-08-31,Sundar Pichai,12.0,IN-TN,241381,4
2018-09-30,Sundar Pichai,13.2,IN-TN,260895,0
2018-10-31,Sundar Pichai,14.0,IN-TN,247084,7
2018-11-30,Sundar Pichai,22.5,IN-TN,392383,48
2018-12-31,Sundar Pichai,25.2,IN-TN,509400,7
2019-01-31,Sundar Pichai,14.0,IN-TN,265992,3
2019-02-28,Sundar Pichai,12.25,IN-TN,217611,48
2019-03-31,Sundar Pichai,15.8,IN-TN,275373,54
2019-04-30,Sundar Pichai,15.25,IN-TN,234159,3
2019-05-31,Sundar Pichai,16.0,IN-TN,250969,3
2019-06-30,Sundar Pichai,19.8,IN-TN,316705,3
2019-07-31,Sundar Pichai,18.25,IN-TN,324018,7
2019-08-31,Sundar Pichai,14.5,IN-TN,240745,3
2019-09-30,Sundar Pichai,15.2,IN-TN,357123,11
2019-10-31,Sundar Pichai,13.5,IN-TN,255100,9
2019-11-30,Sundar Pichai,13.75,IN-TN,227971,2
2019-12-31,Sundar Pichai,43.2,IN-TN,761740,23
2020-01-31,Sundar Pichai,16.5,IN-TN,266438,1
2020-02-29,Sundar Pichai,14.75,IN-TN,213425,4
2020-03-31,Sundar Pichai,13.8,IN-TN,184512,0
2020-04-30,Sundar Pichai,16.0,IN-TN,270655,4
2020-05-31,Sundar Pichai,15.0,IN-TN,265994,1
2020-06-30,Sundar Pichai,28.0,IN-TN,424174,8
2020-07-31,Sundar Pichai,32.75,IN-TN,487285,7
2020-08-31,Sundar Pichai,21.2,IN-TN,303517,9
2020-09-30,Sundar Pichai,17.0,IN-TN,258865,7
2020-10-31,Sundar Pichai,15.25,IN-TN,344976,10
2020-11-30,Sundar Pichai,14.2,IN-TN,366232,7
2020-12-31,Sundar Pichai,15.5,IN-TN,363234,13
2016-01-31,Narendra Modi,4.4,IN-GUJ,194465,6
2016-02-29,Narendra Modi,5.25,IN-GUJ,120544,8
2016-03-31,Narendra Modi,4.0,IN-GUJ,235331,10
2016-04-30,Narendra Modi,4.25,IN-GUJ,156652,1
2016-05-31,Narendra Modi,5.4,IN-GUJ,127170,15
2016-06-30,Narendra Modi,7.25,IN-GUJ,369115,9
2016-07-31,Narendra Modi,5.0,IN-GUJ,306774,8
2016-08-31,Narendra Modi,6.25,IN-GUJ,191329,12
2016-09-30,Narendra Modi,7.25,IN-GUJ,122789,11
2016-10-31,Narendra Modi,5.8,IN-GUJ,115430,4
2016-11-30,Narendra Modi,35.75,IN-GUJ,128515,14
2016-12-31,Narendra Modi,20.0,IN-GUJ,154293,0
2017-01-31,Narendra Modi,10.4,IN-GUJ,238640,7
2017-02-28,Narendra Modi,8.25,IN-GUJ,142482,4
2017-03-31,Narendra Modi,9.0,IN-GUJ,142307,6
2017-04-30,Narendra Modi,6.0,IN-GUJ,119440,6
2017-05-31,Narendra Modi,6.25,IN-GUJ,137007,4
2017-06-30,Narendra Modi,8.0,IN-GUJ,104627,9
2017-07-31,Narendra Modi,7.8,IN-GUJ,188062,3
2017-08-31,Narendra Modi,6.5,IN-GUJ,142193,5
2017-09-30,Narendra Modi,7.75,IN-GUJ,123616,18
2017-10-31,Narendra Modi,6.2,IN-GUJ,131205,11
2017-11-30,Narendra Modi,5.5,IN-GUJ,129310,9
2017-12-31,Narendra Modi,6.0,IN-GUJ,125633,14
2018-01-31,Narendra Modi,5.75,IN-GUJ,212650,2
2018-02-28,Narendra Modi,7.5,IN-GUJ,123204,5
2018-03-31,Narendra Modi,6.25,IN-GUJ,160602,23
2018-04-30,Narendra Modi,7.4,IN-GUJ,134170,9
2018-05-31,Narendra Modi,9.25,IN-GUJ,123367,4
2018-06-30,Narendra Modi,9.25,IN-GUJ,131980,3
2018-07-31,Narendra Modi,10.2,IN-GUJ,173201,4
2018-08-31,Narendra Modi,12.75,IN-GUJ,153138,6
2018-09-30,Narendra Modi,15.0,IN-GUJ,163442,3
2018-10-31,Narendra Modi,15.75,IN-GUJ,174917,7
2018-11-30,Narendra Modi,17.75,IN-GUJ,176151,8
2018-12-31,Narendra Modi,21.2,IN-GUJ,161640,11
2019-01-31,Narendra Modi,18.5,IN-GUJ,226337,17
2019-02-28,Narendra Modi,24.25,IN-GUJ,373528,6
2019-03-31,Narendra Modi,25.8,IN-GUJ,196342,8
2019-04-30,Narendra Modi,35.25,IN-GUJ,115333,64
2019-05-31,Narendra Modi,62.75,IN-GUJ,111945,15
2019-06-30,Narendra Modi,24.0,IN-GUJ,95777,11
2019-07-31,Narendra Modi,17.0,IN-GUJ,117350,11
2019-08-31,Narendra Modi,24.5,IN-GUJ,121725,11
